type,value,exactMatch,partialMatch,matchValue,typeMatch,note
per,Mary Whitall Berenson,exact,,Mary Whitall Berenson,true,
loc,I Tatti,,,,,
loc,Settignano,exact,,Settignano,true,
loc,Florence,exact,,Florence,true,
loc,America,exact,,America,true,
date,September 1930,,,,,
misc,R.M.S. Majestic,,,,,name of ship
misc,White Star,exact,,White Star,,name of ship
date,"Wenesday, Sept. 30, 1903",,,,,
loc,Liverpool,exact,,Liverpool,,
per,Turner,,,,,
per,Whistler,,,,,
loc,England,exact,,England,true,
per,Bernhard,exact,,Bernhard,,
loc,The Reef,,,,,
loc,"Newport, R.I.",,,,,
date,"Thursday, Oct. 8, 1903",,,,,
misc,The Arabian Nights,,,,,title of a work
per,Mardus,,,,,
per,Grace,,,,,
per,Bond's new wife,,,,,identified by relationship
per,Edith,,,,,
loc,Greek restaurant,,,,,
loc,New York,exact,,New York,true,
per,Mr. Davis,,,,,
loc,the quay,,,,,
per,B.B.,,,,,
per,Jimmy Whiskers,exact,,Jimmy Whiskers,true,
per,Davis,exact,,Davis,true,
date,3000 B.C.,,,,,
loc,Liberia,,partial,Liberia Whose,,
per,Mother Superior,exact,,Mother Superior,true,
date,"Friday, Oct. 9, 1903",,,,,
loc,Spain,exact,,Spain,true,
per,Mr. and Mrs. Fearing,,,,,
per,Terence Bourke,exact,,Terence Bourke,true,
date,"Saturday, Oct. 10, 1903",,,,,
per,Mrs. Andrews,,,,,
per,J. Gordon Kugler,exact,,J. Gordon Kugler,true,
misc,The South,,,,,title of a work
per,Sophy Buffum,exact,,Sophy Buffum,true,
loc,Europe,exact,,Europe,true,
per,Miss Busk,exact,,Miss Busk,,
misc,Bridge,,,,,title of a game
date,"Sunday, Oct. 11, 1903",,,,,
misc,Forgery,,,,,title of a work
misc,Tricca-Leonardo,,,,,title of a work
misc,Logan,exact,,Logan,true,title of a work
org,Philharmonic orchestra,,,,,
loc,Boston,exact,,Boston,true,
org,New York Theatre,exact,,New York Theatre,,
per,Mr. Longyear of Marquette,,,,,
per,Mr. Coates,,,,,
per,Mr. Berevin,,,,,
per,Mr. Taylor,,,,,
per,Mrs. Winty Chandler,,,,,
loc,Egypt,exact,,Egypt,true,
loc,Tomb of Totmes IV,,,,,
per,Queen Hatasu,,partial,Tomb of the great Queen Hatasu,,
loc,189 Grampian Way,,,,,
loc,Dorchester,exact,,Dorchester,true,
date,"Monday, Oct. 12, 1903",,,,,
loc,Old Point,exact,,Old Point,,
per,Grandpa Cope,exact,,Grandpa Cope,true,
per,Rachel,exact,,Rachel,true,
per,Miss Sellers,exact,,Miss Sellers,,
date,"Tuesday, Oct. 13, 1903",,,,,
date,"Wednesday, Oct. 14, 1903",,,,,
loc,Blue Hill,exact,,Blue Hill,,
date,"Thursday, Oct. 15, 1903",,,,,
loc,Cambridge,,,,,
per,Mrs. Toy,exact,,Mrs. Toy,true,
per,Santayana,exact,,Santayana,,
per,Leslie Hopkinson,exact,,Leslie Hopkinson,true,
per,Mr. Andrew,,,,,
misc,Orchestrelle,exact,,Orchestrelle,true,instrument
date,"Friday, Oct. 16, 1903",,,,,
loc,Willowbrook Cottage,exact,,Willowbrook Cottage,true,
per,Beverly,,,,,
per,Gertrude,exact,,Gertrude,,
per,Mrs. Tyler,exact,,Mrs. Tyler,true,
per,Brother Charles,,,,,
per,Rabbi Fleischer,exact,,Rabbi Fleischer,true,
misc,Democracy,,,,,concept
per,Michliszanski,,,,,
per,Goldman,,partial,Goldman ( poor,,
per,Tolstoi,exact,,Tolstoi,,
per,Hinda Coen,exact,,Hinda Coen,true,
per,Schwarz,,,,,
per,James,exact,,James,true,
loc,Green Hill,exact,,Green Hill,,
loc,Brookline,exact,,Brookline,true,
date,"Saturday, Oct. 17, 1903",,,,,
per,Mrs. Jack Gardner,,,,,
per,Mrs. Gardner,exact,,Mrs. Gardner,true,
per,Proctor the musician,,,,,
misc,Symphony Concert,exact,,Symphony Concert,,type of event
per,Tschaikowski,exact,,Tschaikowski,true,
per,Bruneau,exact,,Bruneau,true,
per,Brahms,,,,,
per,Mrs. Sarah Whitman,,,,,
misc,Prof. of Ethics,,,,,professional title
per,Josiah Royce,exact,,Josiah Royce,true,
per,Bob,,,,,
per,George Moore,exact,,George Moore,true,
per,the philosopher,,,,,identified by professional title rather than name
per,Mrs. Parkman,exact,,Mrs. Parkman,,
per,Mr. and Mrs. Higginson,,,,,
date,"Sunday, Oct. 18, 1903",,,,,
loc,Arboretum,,,,,
loc,Country Club,exact,,Country Club,true,
per,Mr. Dwight,,,,,
per,Mr. Swift,,,,,
per,Rockefeller,exact,,Rockefeller,true,
per,Mr. Strong,,,,,
loc,Lakewood,exact,,Lakewood,true,
date,"Monday, Oct. 19, 1903",,,,,
loc,Library,,,,,
misc,The Puvis',,,,,indicators of works of art
loc,Bates Hall,exact,,Bates Hall,,
misc,The Abbeys,,,,,indicators of works of art
misc,Sargeants,,,,,indicators of works of art
per,Evelyn,exact,,Evelyn,,
per,Ellen Hale,exact,,Ellen Hale,true,
